event_id,name,artist_ids,art_forms,genres,language,city,venue,style,mood_tags,festival,festivals,event_type,date,capacity,ticket_price,status
E0000,Celebration of Chathurika Wijesinghe,['A0036'],['music'],['sad_songs'],['english'],batticaloa,Colombo University Arts Theatre,['contemporary'],"['rebel', 'reflective']",,[],competition,2026-06-17T22:51:08.459431,100,3000,upcoming
E0001,Celebration of Thisara Bandara,['A0078'],['dance'],['tango'],['sinhala'],kandy,Bentota Beach Resort,['contemporary'],"['angry', 'political_intensity']",,[],workshop,2026-05-29T22:51:08.459450,50,500,upcoming
E0002,Evening with Chitral Somapala,['A0040'],['drama'],"['crime_series', 'romance_series', 'physical_theatre', 'immersive_theatre']","['english', 'sinhala']",ratnapura,Paradise Road Gallery,"['contemporary', 'fusion']","['heroic', 'devotional']",,[],exhibition,2026-07-18T22:51:08.459464,1000,3000,upcoming
E0003,Evening with Mohan Senanayake,['A0056'],['film'],"['military_themes', 'romantic_drama']",['tamil'],kilinochchi,Maharagama Youth Centre,['contemporary'],"['emotional', 'romantic']",,[],competition,2026-10-08T22:51:08.459477,1000,1500,upcoming
E0004,Live Upeka,['A0002'],['film'],['biographical'],['sinhala'],panadura,Viharamahadevi Park Open Air Theatre,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],competition,2026-07-10T22:51:08.459489,2000,1000,upcoming
E0005,Live Gayan Selvam,['A0050'],['drama'],"['romance_series', 'family_drama']",['english'],jaffna,Galle Face Green,['contemporary'],['peaceful'],,[],concert,2026-05-27T22:51:08.459501,500,2000,upcoming
E0006,Night of Gayan Selvam,['A0050'],['drama'],"['romance_series', 'family_drama']",['english'],jaffna,Waters Edge,['contemporary'],['peaceful'],,[],ritual_ceremony,2026-06-01T22:51:08.459513,50,1000,upcoming
E0007,Evening with Ruwan Rathnayake,['A0049'],['music'],"['ballads', 'acoustic_pop']","['english', 'sinhala']",kegalle,Navarangahala (Borella),['contemporary'],"['spiritual', 'reflective', 'suspenseful']",,[],performance,2026-07-13T22:51:08.459525,2000,1000,upcoming
E0008,Esala Perahera - Ravibandu Vidyapathi,"['A0016', 'A0067']","['dance', 'music']","['interpretative', 'background_scores', 'kpop_cover', 'raban_music', 'locking']","['english', 'sinhala']",kandy,Kandy Lake Club,"['contemporary', 'traditional']","['intense', 'rural_village', 'political_awareness']",esala_perahera,['esala_perahera'],concert,2026-08-02T22:51:08.459540,500,500,upcoming
E0009,Evening with Dilshan Gunasekara,"['A0069', 'A0034', 'A0070']","['film', 'dance']","['colonial_era', 'biographical', 'bharatanatyam', 'romantic_comedy', 'romantic_drama']","['tamil', 'sinhala']",negombo,Sapumal Foundation,"['contemporary', 'traditional']","['rebel', 'urban_street', 'energetic']",,[],performance,2026-09-26T22:51:08.459562,100,2000,upcoming
E0010,Celebration of Chaminda Herath,"['A0081', 'A0072']",['music'],"['party_baila', 'background_scores']","['english', 'sinhala']",batticaloa,National Museum Auditorium,['contemporary'],"['spiritual_trance', 'energetic', 'celebratory']",,[],festival,2026-10-21T22:51:08.459576,2000,1000,upcoming
E0011,Celebration of Nimesh Jayawardena,"['A0061', 'A0069', 'A0029']","['drama', 'dance']","['ceremonial_dances', 'crime_series', 'romance_series', 'bharatanatyam']","['english', 'sinhala']",polonnaruwa,Gangaramaya Temple Grounds,"['contemporary', 'traditional']","['energetic', 'meditative', 'reflective']",,[],workshop,2026-08-24T22:51:08.459590,200,500,upcoming
E0012,Thai Pongal - Vijay Kumar,['A0066'],['film'],['social_realism'],['tamil'],jaffna,Viharamahadevi Park Open Air Theatre,['contemporary'],"['heroic', 'rebel', 'spiritual_trance']",thai_pongal,['thai_pongal'],exhibition,2026-09-13T22:51:08.459604,500,500,upcoming
E0013,Celebration of Lakshman Selvam,['A0055'],['drama'],"['physical_theatre', 'social_drama', 'immersive_theatre']",['english'],puttalam,Regal Theatre (Colombo),"['contemporary', 'fusion']","['national_pride', 'traditional', 'dramatic_ballad']",,[],festival,2026-07-09T22:51:08.459617,50,1000,upcoming
E0014,Evening with Ayesha Selvam,['A0071'],['film'],"['police_procedural', 'civil_war_themes']",['english'],galle,National Museum Auditorium,['contemporary'],"['serious', 'party']",,[],workshop,2026-07-13T22:51:08.459629,100,3000,upcoming
E0015,Celebration of Neela Wickremasinghe,"['A0028', 'A0033']","['drama', 'dance']","['naiyandi', 'pantheru', 'political_theatre', 'bharatanatyam']","['english', 'sinhala']",matale,Gangaramaya Temple Grounds,"['contemporary', 'traditional']","['rhythmic', 'satirical', 'fusion_energy']",,[],workshop,2026-09-20T22:51:08.459642,1000,3000,upcoming
E0016,Poson - Thilini Amarasinghe,['A0095'],['drama'],['sokari'],['sinhala'],matale,Colombo Racecourse,['traditional'],"['dramatic', 'historical_nostalgia']",poson,['poson'],ritual_ceremony,2026-05-28T22:51:08.459655,100,0,upcoming
E0017,Evening with Chaminda Herath,['A0081'],['music'],['party_baila'],['english'],batticaloa,Colombo University Arts Theatre,['contemporary'],"['energetic', 'celebratory', 'party']",,[],festival,2026-09-03T22:51:08.459700,200,1000,upcoming
E0018,Live Upeka,['A0002'],['film'],['biographical'],['sinhala'],panadura,University of Peradeniya Open Air Theatre,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],concert,2026-09-24T22:51:08.459712,50,500,upcoming
E0019,Night of Ravibandu Vidyapathi,['A0016'],['dance'],"['locking', 'kpop_cover', 'interpretative']","['english', 'sinhala']",kandy,Sapumal Foundation,['contemporary'],"['joyful', 'romantic']",,[],competition,2026-05-13T22:51:08.459729,100,0,upcoming
E0020,Evening with Hashini Samaraweera,['A0027'],['music'],['modern_baila'],['english'],panadura,Ladies' College Auditorium,['contemporary'],"['energetic', 'celebratory', 'party']",,[],workshop,2026-07-29T22:51:08.459740,500,1000,upcoming
E0021,Evening with Lakshmi Wickremasinghe,"['A0004', 'A0042']","['film', 'dance']","['ancient_sri_lanka', 'uddekki', 'ves_dance', 'colonial_era']","['tamil', 'sinhala']",trincomalee,Gangaramaya Temple Grounds,"['contemporary', 'traditional']","['rhythmic', 'serious', 'patriotic']",,[],ritual_ceremony,2026-06-17T22:51:08.459754,50,1000,upcoming
E0022,Live Sanduni Nadarajah,['A0060'],['film'],"['ancient_sri_lanka', 'romantic_comedy', 'biographical']","['english', 'sinhala']",kandy,Jaffna Public Library Hall,['contemporary'],"['rebel', 'energetic', 'urban_street']",,[],performance,2026-07-14T22:51:08.459766,500,0,upcoming
E0023,Live Ruwan Kumar,"['A0091', 'A0031', 'A0049']","['film', 'dance', 'music']","['ballads', 'police_procedural', 'crime_drama', 'acoustic_pop', 'theatrical_dance', 'harvest_dances', 'village_festival_dances']","['english', 'sinhala']",jaffna,Sapumal Foundation,['contemporary'],"['spiritual', 'dramatic_ballad', 'political_intensity']",,[],performance,2026-05-19T22:51:08.459783,100,1500,upcoming
E0024,Live Kavinda Liyanage,['A0026'],['music'],"['ballads', 'modern_baila', 'sad_songs', 'party_baila']",['sinhala'],matale,Kelaniya Raja Maha Vihara,['contemporary'],"['energetic', 'celebratory', 'party']",,[],workshop,2026-07-29T22:51:08.459796,200,500,upcoming
E0025,Live Dinesh Dissanayake,"['A0070', 'A0066']",['film'],"['colonial_era', 'social_realism']","['tamil', 'sinhala']",matale,Independence Square,['contemporary'],"['rebel', 'heroic', 'spiritual_trance']",,[],exhibition,2026-07-26T22:51:08.459810,100,1000,upcoming
E0026,Night of Hashini Samaraweera,"['A0027', 'A0014']",['music'],"['modern_baila', 'sinhala_rap']",['english'],panadura,Tower Hall Theatre,['contemporary'],"['rebel', 'urban_street', 'party']",,[],competition,2026-08-30T22:51:08.459823,200,0,upcoming
