artist_id,name,art_form,art_forms,genres,styles,language,languages,city,mood_tags,festivals,popularity,follower_count,verified,era,notable_works,awards,bio
A0000,Chitrasena,film,['film'],"['biographical', 'colonial_era']",['historical_period'],english,['english'],badulla,"['energetic', 'rebel', 'urban_street']",[],emerging,1143,False,contemporary,[],[],
A0001,Nadeesha Herath,drama,['drama'],['immersive_theatre'],['experimental_avant_garde'],sinhala,"['sinhala', 'english']",nuwara_eliya,"['spiritual_trance', 'religious_reverence']",[],mid_tier,2722,False,contemporary,[],[],
A0002,Upeka,film,['film'],['biographical'],['historical_period'],sinhala,['sinhala'],panadura,"['energetic', 'rebel', 'urban_street']",[],emerging,2622,False,contemporary,[],[],
A0003,Samanthi Herath,film,['film'],"['colonial_era', 'biographical', 'supernatural_horror']","['historical_period', 'horror']",sinhala,"['sinhala', 'english']",ratnapura,"['energetic', 'rebel', 'urban_street']",[],mid_tier,1811,False,contemporary,[],[],
A0004,Lakshmi Wickremasinghe,film,['film'],"['colonial_era', 'ancient_sri_lanka']",['historical_period'],tamil,['tamil'],trincomalee,['patriotic'],['thai_pongal'],emerging,884,False,contemporary,[],[],
A0005,Dilshan Fernando,dance,['dance'],['naiyandi'],['kandyan_dance'],sinhala,['sinhala'],kandy,"['heartbreak', 'peaceful']","['poson', 'esala_perahera']",established,1669,False,contemporary,[],[],
A0006,Sunil Edirisinghe,drama,['drama'],"['nadagam', 'family_drama', 'romance_series']","['traditional_theatre', 'teledrama']",sinhala,['sinhala'],kurunegala,"['dramatic_ballad', 'comic_relief']",[],emerging,2949,True,contemporary,[],[],
A0007,W.D. Amaradeva,dance,['dance'],['hip_hop_dance'],['urban_street'],sinhala,"['sinhala', 'english']",chilaw,"['energetic', 'rebel', 'urban_street']",[],emerging,4561,False,contemporary,[],[],
A0008,Tharindu De Silva,music,['music'],"['traditional_baila', 'party_baila']",['baila'],sinhala,['sinhala'],jaffna,"['celebratory', 'energetic', 'party']",[],mid_tier,4020,False,contemporary,[],[],
A0009,Sandani Wickremasinghe,film,['film'],['social_justice'],['political_cinema'],sinhala,"['sinhala', 'english']",colombo,"['melancholic', 'suspense']",[],established,870,True,contemporary,[],[],
A0010,Nuwan Herath,dance,['dance'],['vannam_dance'],['kandyan_dance'],sinhala,['sinhala'],matale,"['tense', 'mythological']","['esala_perahera', 'poson']",mid_tier,4700,False,contemporary,[],[],
A0011,Sachini Kumara,dance,['dance'],"['locking', 'wedding_dances']","['urban_street', 'muslim_cultural_dance']",sinhala,['sinhala'],nuwara_eliya,"['ceremonial', 'devotional', 'war_tension']",[],mid_tier,1118,False,contemporary,[],[],
A0012,Sachini Dissanayake,dance,['dance'],"['harvest_dances', 'ves_dance']","['folk_dance', 'kandyan_dance']",sinhala,['sinhala'],nuwara_eliya,"['joyful', 'heartbreak']","['poson', 'esala_perahera']",emerging,1340,False,contemporary,[],[],
